7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1691004240, +3.48, +29.268, +465.89817, +1216.000, -100.000,  +0.000
1691004540, +3.48, +29.251, +433.28812, +1224.000, -104.000, -16.000
1691004840, +3.48, +29.251, +460.66865, +1217.000, -100.000,  +0.000
1691005140, +3.48, +29.276, +454.25310, +1216.000, -100.000,  +3.000
1691005440, +3.48, +29.276, +397.16138, +1200.000, -100.000, +38.000
1691005740, +3.48, +29.260, +414.97375, +1198.000, -104.000, +40.000
1691006040, +3.48, +29.203, +404.58918, +1216.000, -104.000,  +0.000
1691006340, +3.48, +29.121, +414.68138, +1235.000, -115.000, -41.000
1691006640, +3.48, +29.007, +335.24558, +1230.000, -112.000, -32.000
1691006940, +3.48, +28.860, +394.92449, +1180.000, -112.000, +67.000
1691007240, +3.48, +28.738, +393.51505, +1203.000, -104.000, +32.000
1691007540, +3.48, +28.664, +388.21382, +1200.000, -104.000, +38.000
1691007840, +3.48, +28.640, +356.06438, +1212.000, -104.000, +14.000
1691008140, +3.48, +28.656, +338.12788, +1224.000, -104.000, -16.000
1691008440, +3.48, +28.681, +308.72285, +1222.000, -104.000, -10.000
1691008740, +3.48, +28.730, +265.32552, +1216.000, -100.000,  +3.000
1691009040, +3.48, +28.770, +248.10891, +1203.000, -104.000, +32.000
1691009340, +3.48, +28.828, +222.36675, +1217.000, -104.000,  +2.000
1691009640, +3.48, +28.909, +195.85229, +1196.000, -106.000, +48.000
1691009940, +3.48, +29.015, +177.68411, +1176.000, -114.000, +72.000
1691010240, +3.48, +29.064, +168.67862, +1144.000, -116.000, +92.000
1691010540, +3.48, +29.080, +1308.08320, -173.000, -1116.000, -281.000
1691010840, +3.48, +28.795,  +3.48800, -276.000, +956.000, +1180.000
1691011140, +3.48, +29.219,  +4.16652, -232.000, +824.000, +1064.000
1691011440, +3.48, +29.511,  +4.29615, -280.000, +780.000, +1052.000
1691011740, +3.49, +29.730,  +3.52386, -264.000, +783.000, +1244.000
