7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1698122880, +3.47, +21.663,  -0.00938, -31.000, -1160.000, +878.000
1698123180, +3.47, +21.655,  -0.09764, -32.000, -1152.000, +878.000
1698123480, +3.47, +21.655,  +0.04579, -29.000, -1160.000, +876.000
1698123780, +3.47, +21.655,  -0.04523, -32.000, -1160.000, +880.000
1698124080, +3.47, +21.638,  +0.02648, -32.000, -1152.000, +880.000
1698124380, +3.47, +21.638,  +0.03199, -32.000, -1160.000, +880.000
1698124680, +3.47, +21.638,  +0.12302, -32.000, -1164.000, +883.000
1698124980, +3.47, +21.621,  +0.12026, -29.000, -1160.000, +878.000
1698125280, +3.47, +21.621,  +0.00441, -40.000, -1152.000, +886.000
1698125580, +3.47, +21.621,  -0.03144, -64.000, -1136.000, +952.000
1698125880, +3.47, +21.605,  -0.00110, -68.000, -1134.000, +950.000
1698126180, +3.47, +21.621,  +0.02372, -26.000, -1160.000, +871.000
1698126480, +3.47, +21.605,  +0.10371, -26.000, -1160.000, +871.000
1698126780, +3.47, +21.605,  +0.00717, -20.000, -1160.000, +864.000
1698127080, +3.47, +21.605,  -0.00386, -24.000, -1160.000, +870.000
1698127380, +3.47, +21.596,  +0.00165, -64.000, -1140.000, +958.000
1698127680, +3.47, +21.596,  -0.14729, -68.000, -1132.000, +951.000
1698127980, +3.47, +21.588,  -0.22452, -13.000, -1137.000, +839.000
1698128280, +3.47, +21.588,  -0.11419, -64.000, -1136.000, +956.000
1698128580, +3.47, +21.588,  +0.02372, -64.000, -1144.000, +960.000
1698128880, +3.47, +21.563,  +0.02648, -64.000, -1132.000, +947.000
1698129180, +3.47, +21.571,  +0.01269, -24.000, -1160.000, +870.000
1698129480, +3.47, +21.554,  +0.03475, -64.000, -1140.000, +956.000
1698129780, +3.47, +21.563,  +0.02648, -64.000, -1144.000, +960.000
1698130080, +3.47, +21.546,  +0.03199, -64.000, -1152.000, +956.000
1698130380, +3.47, +21.546,  +0.05130, -64.000, -1146.000, +960.000
1698130680, +3.47, +21.546,  +0.05406, -64.000, -1146.000, +958.000
1698130980, +3.47, +21.546,  +0.01269, -64.000, -1136.000, +952.000
1698131280, +3.47, +21.538,  -0.03696, -64.000, -1146.000, +960.000
1698131580, +3.47, +21.538,  -0.09488, -64.000, -1148.000, +958.000
1698131880, +3.47, +21.538,  +0.04027, -64.000, -1144.000, +960.000
1698132180, +3.47, +21.521,  -0.01765, -64.000, -1144.000, +958.000
1698132480, +3.47, +21.529,  +0.06234, -64.000, -1144.000, +960.000
1698132780, +3.47, +21.521,  +0.06785, -63.000, -1152.000, +956.000
1698133080, +3.47, +21.512,  -0.07557, -64.000, -1149.000, +956.000
1698133380, +3.47, +21.512,  -0.10867, -64.000, -1149.000, +959.000
1698133680, +3.47, +21.504,  -0.02869, -63.000, -1148.000, +960.000
1698133980, +3.47, +21.504,  -0.09212, -64.000, -1152.000, +960.000
1698134280, +3.47, +21.496,  +0.05406, -64.000, -1140.000, +958.000
1698134580, +3.47, +21.496,  -0.02869, -64.000, -1152.000, +960.000
1698134880, +3.47, +21.487,  +0.06234, -63.000, -1152.000, +952.000
1698135180, +3.47, +21.496,  -0.16935, -64.000, -1136.000, +956.000
1698135480, +3.47, +21.479,  +0.00441, -64.000, -1149.000, +956.000
1698135780, +3.47, +21.479,  +0.00441, -64.000, -1152.000, +956.000
1698136080, +3.47, +21.470,  -0.01765, -56.000, -1152.000, +947.000
1698136380, +3.47, +21.462,  +0.02096, -64.000, -1152.000, +952.000
1698136680, +3.47, +21.445,  -0.03144, -64.000, -1148.000, +960.000
1698136980, +3.47, +21.470,  +0.01269, -61.000, -1152.000, +956.000
1698137280, +3.47, +21.454,  -0.05903, -61.000, -1152.000, +952.000
1698137580, +3.47, +21.429,  +0.10095, -61.000, -1152.000, +958.000
1698137880, +3.47, +21.429,  -0.05903, -63.000, -1152.000, +953.000
1698138180, +3.47, +21.437,  +0.02924, -60.000, -1152.000, +952.000
1698138480, +3.47, +21.445,  -0.07833, -64.000, -1152.000, +952.000
1698138780, +3.47, +21.445,  -0.02869, -61.000, -1152.000, +952.000
1698139080, +3.47, +21.437,  -0.04799, -61.000, -1152.000, +952.000
1698139380, +3.47, +21.429,  -0.10040, -61.000, -1152.000, +953.000
1698139680, +3.47, +21.420,  -0.04248, -64.000, -1152.000, +955.000
1698139980, +3.47, +21.429,  +0.03199, -64.000, -1149.000, +956.000
1698140280, +3.47, +21.420,  +0.05406, -64.000, -1152.000, +956.000
1698140580, +3.47, +21.412,  +0.01820, -63.000, -1149.000, +958.000
1698140880, +3.47, +21.403,  +0.04303, -64.000, -1150.000, +956.000
1698141180, +3.47, +21.403,  +0.00165, -60.000, -1152.000, +945.000
1698141480, +3.47, +21.412,  +0.04579, -56.000, -1152.000, +944.000
1698141780, +3.47, +21.403,  -0.02317, -64.000, -1149.000, +956.000
1698142080, +3.47, +21.387,  -0.02041, -56.000, -1152.000, +940.000
1698142380, +3.47, +21.387,  -0.13901, -60.000, -1152.000, +952.000
1698142680, +3.47, +21.387,  +0.02372, -64.000, -1152.000, +953.000
1698142980, +3.47, +21.378,  -0.05903, -60.000, -1152.000, +947.000
1698143280, +3.47, +21.378,  +0.04303, -56.000, -1152.000, +929.000
1698143580, +3.47, +21.370,  -0.05627, -63.000, -1152.000, +956.000
1698143880, +3.47, +21.370,  +0.10095, -50.000, -1176.000, +856.000
1698144180, +3.47, +21.370,  +0.03475, -48.000, -1136.000, +974.000
1698144480, +3.47, +21.345,  +0.10647, +262.000, -1224.000, +956.000
1698144780, +3.47, +21.253,  +0.04579, -60.000, -1133.000, +960.000
1698145080, +3.47, +21.102,  -0.03420,  +3.000, -1152.000, +880.000
1698145380, +3.47, +20.774,  +0.10095,  -8.000, -1148.000, +960.000
1698145680, +3.47, +20.237,  -0.04523,  +8.000, -1152.000, +872.000
1698145980, +3.47, +19.623,  +0.19749, +32.000, -1096.000, +870.000
1698146280, +3.47, +18.891,  -0.11143, -108.000, -1037.000, +819.000
1698146580, +3.47, +18.021,  +0.23886, +81.000, -992.000, +903.000
1698146880, +3.47, +17.047,  +0.20852, -136.000, -1068.000, +894.000
1698147180, +3.47, +16.068,  +0.20852, -32.000, -1184.000, +923.000
1698147480, +3.46, +15.170,  +0.39056, +216.000, -1064.000, +1027.000
1698147780, +3.46, +14.343,  +0.97530, +56.000, -1248.000, +889.000
1698148080, +3.46, +13.580,  +2.14477, -96.000, -1172.000, +956.000
1698148380, +3.46, +12.784,  +1.65105, -80.000, -1060.000, +915.000
1698148680, +3.46, +11.928,  +0.71051,  +0.000, -1072.000, +904.000
1698148980, +3.46, +11.152,  +0.59467, +35.000, -1165.000, +972.000
1698149280, +3.46, +10.467,  +2.16683, +112.000, -1112.000, +808.000
1698149580, +3.46,  +9.893,  +1.27870, -40.000, -1144.000, +1095.000
1698149880, +3.46,  +9.388,  +2.45368,  +3.000, -1136.000, +935.000
1698150180, +3.46,  +9.046,  +6.51649, -104.000, -1168.000, +995.000
1698150480, +3.46,  +8.757,  +4.21065,  +6.000, -1204.000, +1199.000
1698150780, +3.46,  +8.486,  +1.57106, -48.000, -1152.000, +896.000
1698151080, +3.46,  +8.175,  +1.54624, +28.000, -1246.000, +988.000
1698151380, +3.46,  +7.958, +14.03256, -16.000, -1088.000, +940.000
1698151680, +3.46,  +7.853,  +1.65381, -180.000, -1140.000, +967.000
1698151980, +3.46,  +7.663,  +1.52693, -250.000, -1128.000, +982.000
1698152280, +3.45,  +7.491,  +3.68384, -93.000, -1120.000, +942.000
1698152580, +3.45,  +7.338, +23.15940, -80.000, -1108.000, +903.000
1698152880, +3.45,  +7.251, +44.74498, -16.000, -1108.000, +944.000
1698153180, +3.45,  +7.232, +25.30803, +24.000, -1000.000, +1024.000
1698153480, +3.45,  +7.338, +43.46518, -48.000, -1088.000, +964.000
1698153780, +3.45,  +7.510, +29.11984, -108.000, -1144.000, +956.000
1698154080, +3.45,  +7.682,  +5.64215, -154.000, -1116.000, +993.000
1698154380, +3.45,  +7.787,  +1.83585, -100.000, -1124.000, +988.000
1698154680, +3.45,  +7.853,  +3.92104, -157.000, -1104.000, +979.000
1698154980, +3.45,  +8.260, +148.16874, +1212.000,  +3.000, +196.000
1698155280, +3.45,  +9.793, +138.15376, +1240.000, -16.000, -44.000
1698155580, +3.45, +11.233, +178.93357, +1191.000, -16.000, +56.000
1698155880, +3.45, +12.070, +149.68850, +1155.000, -32.000, +88.000
1698156180, +3.45, +12.573, +162.14172, +1219.000,  +0.000,  -8.000
1698156480, +3.45, +12.872, +173.56062, +1160.000, -29.000, +83.000
1698156780, +3.45, +13.073, +175.31482, +1136.000, -32.000, +88.000
1698157080, +3.45, +13.196, +178.63016, +1233.000, -16.000, -52.000
1698157380, +3.45, +13.309, +183.89279, +1239.000, -16.000, -56.000
1698157680, +3.45, +13.379, +195.23721, +1233.000, -16.000, -44.000
1698157980, +3.45, +13.431, +197.60925, +1223.000,  -8.000, -16.000
1698158280, +3.45, +13.492, +210.38518, +1208.000,  -8.000, +16.000
1698158580, +3.45, +13.536, +214.01220, +1223.000,  +0.000, -20.000
1698158880, +3.45, +13.562, +210.68031, +1182.000, -23.000, +60.000
1698159180, +3.45, +13.623, +217.12895, +1167.000, -29.000, +78.000
1698159480, +3.45, +13.640, +233.71945, +1155.000, -29.000, +80.000
1698159780, +3.45, +13.675, +425.80240, +1166.000, -25.000, +76.000
1698160080, +3.45, +13.701, +429.49009, +1164.000, -26.000, +76.000
1698160380, +3.45, +13.736, +441.70887, +1127.000, -32.000, +88.000
1698160680, +3.44, +13.762, +436.36901, +1148.000, -29.000, +83.000
1698160980, +3.45, +13.797, +445.43794, +1175.000, -20.000, +65.000
1698161280, +3.44, +13.832, +463.14550, +1136.000, -32.000, +88.000
1698161580, +3.44, +13.866, +471.83379, +1240.000, -20.000, -64.000
1698161880, +3.44, +13.936, +474.35202, +1240.000, -16.000, -65.000
1698162180, +3.44, +13.953, +470.51262, +1231.000,  -8.000, -32.000
1698162480, +3.44, +13.988, +465.63339, +1235.000, -16.000, -48.000
1698162780, +3.44, +14.005, +476.50616, +1223.000,  +0.000, -20.000
1698163080, +3.44, +14.049, +463.76609, +1235.000, -16.000, -58.000
1698163380, +3.44, +14.075, +459.81361, +1216.000,  -8.000,  -8.000
1698163680, +3.44, +14.118, +454.83508, +1212.000,  -8.000,  +3.000
1698163980, +3.44, +14.153, +451.97208, +1219.000,  -8.000,  -8.000
1698164280, +3.44, +14.178, +455.18261, +1227.000,  +0.000, -28.000
1698164580, +3.44, +14.222, +449.23044, +1214.000,  -8.000,  +0.000
1698164880, +3.44, +14.265, +443.54030, +1209.000,  -8.000, +12.000
1698165180, +3.44, +14.291, +443.37757, +1208.000,  -8.000, +12.000
1698165480, +3.44, +14.334, +436.57312, +1208.000, -13.000, +16.000
1698165780, +3.44, +14.377, +436.36901, +1164.000, -25.000, +72.000
1698166080, +3.44, +14.429, +430.64853, +1193.000, -16.000, +40.000
1698166380, +3.44, +14.481, +432.09934, +1169.000, -24.000, +68.000
1698166680, +3.44, +14.507, +432.62340, +1159.000, -25.000, +80.000
1698166980, +3.44, +14.559, +423.59585, +1158.000, -25.000, +78.000
1698167280, +3.44, +14.593, +412.50793, +1136.000, -32.000, +88.000
1698167580, +3.44, +14.628, +411.96181, +1155.000, -29.000, +78.000
1698167880, +3.44, +14.679, +405.39181, +1148.000, -29.000, +80.000
1698168180, +3.44, +14.705, +397.84265, +1126.000, -32.000, +88.000
1698168480, +3.44, +14.731, +394.63488, +1240.000, -24.000, -61.000
1698168780, +3.44, +14.757, +376.97696, +1128.000, -32.000, +86.000
1698169080, +3.44, +14.783, +368.71343, +1238.000, -16.000, -56.000
1698169380, +3.44, +14.843, +361.72418, +1235.000, -16.000, -48.000
1698169680, +3.44, +14.869, +353.89644, +1228.000,  -8.000, -40.000
1698169980, +3.44, +14.929, +342.56581, +1223.000,  +0.000, -29.000
1698170280, +3.44, +14.989, +338.95534, +1217.000,  +0.000, -16.000
1698170580, +3.44, +15.032, +329.35685, +1224.000,  +0.000, -31.000
1698170880, +3.44, +15.092, +314.62813, +1216.000,  +0.000,  -8.000
1698171180, +3.44, +15.135, +310.16538, +1219.000,  +0.000, -16.000
1698171480, +3.44, +15.213, +300.98061, +1204.000, -10.000, +24.000
1698171780, +3.44, +15.264, +294.12376, +1203.000, -12.000, +20.000
1698172080, +3.44, +15.307, +289.17281, +1180.000, -20.000, +60.000
1698172380, +3.44, +15.367, +280.11492, +1164.000, -25.000, +76.000
1698172680, +3.44, +15.419, +270.37025, +1159.000, -29.000, +79.000
1698172980, +3.44, +15.453, +266.01231, +1158.000, -25.000, +76.000
1698173280, +3.44, +15.504, +253.93145, +1135.000, -32.000, +86.000
1698173580, +3.44, +15.598, +251.20360, +1223.000,  -8.000, -24.000
1698173880, +3.44, +15.684, +248.22200, +1228.000,  -4.000, -32.000
1698174180, +3.44, +15.752, +245.90788, +1220.000,  +0.000, -13.000
1698174480, +3.44, +15.787, +240.93763, +1200.000, -16.000, +35.000
1698174780, +3.44, +15.829, +225.75932, +1187.000, -16.000, +48.000
1698175080, +3.44, +15.855, +218.73973, +1203.000, -10.000, +19.000
1698175380, +3.44, +15.881, +216.47802, +1208.000,  -8.000, +12.000
1698175680, +3.44, +15.872, +204.17374, +1216.000,  +0.000,  -8.000
1698175980, +3.44, +15.932, +199.42966, +1161.000, -25.000, +76.000
1698176280, +3.44, +16.000, +194.30495, +1183.000, -16.000, +49.000
1698176580, +3.44, +16.026, +186.48824, +1127.000, -31.000, +88.000
1698176880, +3.44, +16.051, +175.77544, +1134.000, -32.000, +84.000
1698177180, +3.44, +16.094, +172.57043, +1139.000, -31.000, +84.000
1698177480, +3.44, +16.137, +166.02525, +1233.000, -13.000, -48.000
1698177780, +3.44, +16.145, +156.49295, +1127.000, -32.000, +84.000
1698178080, +3.44, +16.145, +150.51596, +1231.000, -12.000, -45.000
1698178380, +3.44, +16.188, +142.15037, +1240.000, -20.000, -58.000
1698178680, +3.44, +16.205, +137.22149, +1222.000,  -4.000, -20.000
1698178980, +3.44, +16.205, +129.95367, +1127.000, -32.000, +86.000
1698179280, +3.44, +16.205, +110.69876, +1219.000,  +0.000, -12.000
1698179580, +3.44, +16.188, +104.78796, +1126.000, -32.000, +86.000
1698179880, +3.44, +16.222, +95.41288, +1217.000,  +0.000, -16.000
1698180180, +3.44, +16.307, +89.59587, +1217.000,  +0.000, -10.000
1698180480, +3.44, +16.375, +82.56800, +1127.000, -32.000, +81.000
1698180780, +3.44, +16.461, +85.31792, +1127.000, -32.000, +86.000
1698181080, +3.44, +16.503, +79.65260, +1127.000, -32.000, +86.000
1698181380, +3.44, +16.529, +73.10190, +1127.000, -32.000, +86.000
1698181680, +3.44, +16.554, +65.38174, +1127.000, -32.000, +86.000
1698181980, +3.44, +16.571, +61.05138, +1128.000, -31.000, +88.000
1698182280, +3.44, +16.588, +57.04649, +1128.000, -31.000, +84.000
1698182580, +3.44, +16.597, +52.37136, +1127.000, -32.000, +88.000
1698182880, +3.44, +16.401, +50.13447, +1120.000, +198.000, +358.000
1698183180, +3.44, +16.410, +46.30059, +1120.000, +176.000, +368.000
1698183480, +3.44, +16.563, +41.71649, +1113.000, +176.000, +369.000
1698183780, +3.44, +16.682, +27.86211, +1128.000, +176.000, +369.000
1698184080, +3.44, +16.767, +11.20541, -416.000, +806.000, -648.000
1698184380, +3.44, +16.784,  +6.97987, -416.000, +798.000, -656.000
1698184680, +3.44, +16.741,  +1.94342, -394.000, +812.000, -652.000
1698184980, +3.44, +16.673,  +2.27716, -572.000, +727.000, -652.000
1698185280, +3.44, +16.597,  +2.03996, -556.000, +899.000, -660.000
1698185580, +3.44, +16.495,  +0.93944, -416.000, +807.000, -672.000
1698185880, +3.44, +16.333,  +0.44572, -400.000, +824.000, -873.000
1698186180, +3.44, +16.137,  +0.29402, -444.000, +864.000, -762.000
1698186480, +3.44, +15.915,  +0.13956, -536.000, +871.000, -804.000
1698186780, +3.44, +15.675,  -0.08661, -464.000, +470.000, -800.000
1698187080, +3.44, +15.496,  -0.09212, -464.000, +534.000, -832.000
1698187380, +3.44, +15.384,  -0.04523, -416.000, +528.000, -861.000
1698187680, +3.44, +15.393,  -0.11971, -480.000, +473.000, -848.000
1698187980, +3.44, +15.616,  -0.02869, -424.000, +480.000, -728.000
