7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1697605080, +3.49, +21.713,  -0.14177, -360.000, +1144.000, -376.000
1697605380, +3.49, +21.713,  +0.03199, -320.000, +1185.000, -548.000
1697605680, +3.49, +21.705,  -0.00662, -356.000, +1151.000, -384.000
1697605980, +3.49, +21.705,  +0.07337, -318.000, +1182.000, -557.000
1697606280, +3.48, +21.705,  +0.03475, -320.000, +1182.000, -568.000
1697606580, +3.48, +21.705,  -0.02317, -356.000, +1129.000, -372.000
1697606880, +3.48, +21.697,  -0.14729, -352.000, +1132.000, -376.000
1697607180, +3.48, +21.697,  +0.01545, -333.000, +1196.000, -528.000
1697607480, +3.48, +21.688,  +0.02648, -356.000, +1144.000, -378.000
1697607780, +3.48, +21.688,  +0.16163, -354.000, +1144.000, -377.000
1697608080, +3.48, +21.680,  -0.04248, -320.000, +1184.000, -552.000
1697608380, +3.48, +21.688,  -0.07833, -320.000, +1184.000, -552.000
1697608680, +3.48, +21.672,  -0.10316, -320.000, +1185.000, -552.000
1697608980, +3.48, +21.663,  +0.09268, -320.000, +1184.000, -552.000
1697609280, +3.48, +21.672,  -0.12798, -320.000, +1185.000, -548.000
1697609580, +3.48, +21.663,  +0.04027, -328.000, +1190.000, -540.000
1697609880, +3.48, +21.672,  -0.00386, -317.000, +1182.000, -552.000
1697610180, +3.48, +21.655,  -0.05627, -356.000, +1139.000, -376.000
1697610480, +3.48, +21.655,  +0.00165, -320.000, +1182.000, -548.000
1697610780, +3.48, +21.621,  -0.05075, -356.000, +1142.000, -376.000
1697611080, +3.48, +21.646,  +0.05682, -320.000, +1184.000, -552.000
1697611380, +3.48, +21.646,  -0.07282, -320.000, +1180.000, -560.000
1697611680, +3.48, +21.646,  +0.08992, -320.000, +1179.000, -551.000
1697611980, +3.48, +21.646,  +0.08716, -356.000, +1164.000, -388.000
1697612280, +3.48, +21.630,  +0.09819, -359.000, +1159.000, -392.000
1697612580, +3.48, +21.630,  +0.04579, -360.000, +1143.000, -376.000
1697612880, +3.48, +21.630,  -0.08385, -354.000, +1137.000, -376.000
1697613180, +3.48, +21.605,  -0.12798, -360.000, +1169.000, -400.000
1697613480, +3.48, +21.613,  -0.07557, -360.000, +1150.000, -384.000
1697613780, +3.48, +21.613,  -0.05627, -356.000, +1144.000, -377.000
1697614080, +3.48, +21.613,  +0.01820, -356.000, +1161.000, -392.000
1697614380, +3.48, +21.613,  +0.08164, -356.000, +1164.000, -392.000
1697614680, +3.48, +21.605,  -0.04523, -316.000, +1171.000, -546.000
1697614980, +3.48, +21.605,  +0.05406, -356.000, +1135.000, -372.000
1697615280, +3.48, +21.596,  +0.02372, -320.000, +1183.000, -556.000
1697615580, +3.48, +21.588,  +0.03751, -356.000, +1136.000, -377.000
1697615880, +3.48, +21.596,  -0.01489, -320.000, +1180.000, -552.000
1697616180, +3.48, +21.579,  -0.10040, -317.000, +1180.000, -560.000
1697616480, +3.48, +21.571,  -0.11695, -317.000, +1168.000, -545.000
1697616780, +3.48, +21.571,  +0.04027, -360.000, +1158.000, -388.000
1697617080, +3.48, +21.571,  -0.09212, -320.000, +1187.000, -552.000
1697617380, +3.47, +21.571,  -0.06454, -320.000, +1187.000, -544.000
1697617680, +3.48, +21.563,  +0.01269, -320.000, +1182.000, -552.000
1697617980, +3.48, +21.563,  -0.02593, -354.000, +1132.000, -376.000
1697618280, +3.47, +21.563,  +0.12302, -360.000, +1159.000, -388.000
1697618580, +3.47, +21.563,  -0.03696, -304.000, +1167.000, -533.000
1697618880, +3.47, +21.554,  +0.12853, -320.000, +1183.000, -553.000
1697619180, +3.47, +21.554,  +0.17266, -354.000, +1145.000, -381.000
1697619480, +3.47, +21.546,  +0.07888, -316.000, +1180.000, -552.000
1697619780, +3.47, +21.538,  -0.05627, -316.000, +1174.000, -549.000
1697620080, +3.47, +21.546,  -0.10867, -356.000, +1139.000, -378.000
1697620380, +3.47, +21.529,  +0.00165, -319.000, +1169.000, -545.000
1697620680, +3.47, +21.538,  +0.05958, -360.000, +1160.000, -388.000
1697620980, +3.47, +21.529,  -0.02041, -356.000, +1150.000, -384.000
1697621280, +3.47, +21.529,  -0.03972, -320.000, +1176.000, -560.000
1697621580, +3.47, +21.521,  -0.08661, -313.000, +1171.000, -549.000
1697621880, +3.47, +21.521,  -0.12522, -356.000, +1159.000, -388.000
1697622180, +3.47, +21.521,  +0.05130, -356.000, +1159.000, -392.000
1697622480, +3.47, +21.512,  -0.02869, -356.000, +1148.000, -384.000
1697622780, +3.47, +21.521,  +0.01269, -360.000, +1148.000, -381.000
1697623080, +3.47, +21.512,  -0.14729, -314.000, +1176.000, -549.000
1697623380, +3.47, +21.504,  +0.04303, -356.000, +1168.000, -400.000
1697623680, +3.47, +21.504,  -0.12522, -356.000, +1167.000, -394.000
1697623980, +3.47, +21.504,  -0.11419, -356.000, +1151.000, -380.000
1697624280, +3.47, +21.496,  -0.02041, -356.000, +1161.000, -384.000
1697624580, +3.47, +21.496,  +0.05130, -360.000, +1167.000, -397.000
1697624880, +3.47, +21.496,  +0.00165, -356.000, +1136.000, -376.000
1697625180, +3.47, +21.479,  +0.05958, -352.000, +1142.000, -378.000
1697625480, +3.47, +21.479,  +0.08992, -360.000, +1167.000, -394.000
1697625780, +3.47, +21.470,  -0.00662, -360.000, +1168.000, -394.000
1697626080, +3.47, +21.479,  -0.02041, -356.000, +1134.000, -372.000
1697626380, +3.47, +21.487,  -0.06178, -352.000, +1158.000, -392.000
1697626680, +3.47, +21.479,  -0.15556, -356.000, +1143.000, -378.000
1697626980, +3.47, +21.462,  -0.11419, -356.000, +1161.000, -394.000
1697627280, +3.47, +21.470,  -0.08661, -360.000, +1167.000, -400.000
1697627580, +3.47, +21.470,  +0.09543, -436.000, +1139.000, -397.000
1697627880, +3.47, +21.462,  +0.96978, -464.000, +1231.000, -320.000
1697628180, +3.47, +21.370,  -0.09488, -464.000, +1224.000, -312.000
1697628480, +3.47, +21.185,  -0.07833, -456.000, +1260.000, -397.000
1697628780, +3.47, +20.934,  +0.01545, -378.000, +1246.000, -560.000
1697629080, +3.47, +20.674,  +0.14784, -424.000, +1193.000, -376.000
1697629380, +3.47, +20.371,  +0.11750, -144.000, +1191.000, -504.000
1697629680, +3.47, +20.027,  +0.27747, -381.000, +1120.000, -344.000
1697629980, +3.47, +19.674,  +0.11750, -424.000, +1200.000, -416.000
1697630280, +3.47, +19.304,  -0.00110, -336.000, +1167.000, -456.000
1697630580, +3.47, +18.958,  +0.15336, -368.000, +1336.000, -376.000
1697630880, +3.47, +18.520,  +0.27472, -458.000, +1297.000, -416.000
1697631180, +3.47, +18.080,  +0.24713, -410.000, +1220.000, -537.000
1697631480, +3.47, +17.598,  +0.12577, -367.000, +1145.000, -415.000
1697631780, +3.47, +17.141,  +0.22231, -416.000, +1143.000, -352.000
1697632080, +3.47, +16.818,  +7.63908, -616.000, +670.000, -672.000
1697632380, +3.47, +16.512,  +5.23394, -596.000, +496.000, -744.000
1697632680, +3.47, +16.205,  +7.49841, -500.000, +547.000, -660.000
1697632980, +3.47, +15.923,  +5.95382, -612.000, +456.000, -832.000
1697633280, +3.47, +15.701,  +2.28543, -610.000, +519.000, -752.000
1697633580, +3.46, +15.444,  +3.55420, -508.000, +544.000, -852.000
1697633880, +3.47, +15.196,  +1.13527, -592.000, +428.000, -936.000
1697634180, +3.46, +14.989,  +5.52906, -628.000, +455.000, -908.000
1697634480, +3.46, +14.826,  +3.04669, -626.000, +416.000, -744.000
1697634780, +3.46, +14.679, +17.51063, -624.000, +448.000, -752.000
1697635080, +3.46, +14.585, +45.31040, -392.000, +976.000, -576.000
1697635380, +3.46, +14.481, +42.15228, +1219.000, -36.000, +339.000
1697635680, +3.46, +14.455, +274.66474, +1199.000, +156.000, +352.000
1697635980, +3.46, +14.878, +185.26636, +1239.000, +112.000, +240.000
1697636280, +3.46, +15.410, +401.04490, +1158.000, +102.000, +364.000
1697636580, +3.46, +15.710, +450.56265, +1222.000, +128.000, +276.000
1697636880, +3.46, +15.898, +277.27399, +1228.000, +128.000, +262.000
1697637180, +3.46, +16.000, +181.66141, +1196.000, +120.000, +323.000
1697637480, +3.46, +16.051, +469.66861, +1158.000, +103.000, +360.000
1697637780, +3.46, +16.103, +338.12513, +1168.000, +104.000, +358.000
1697638080, +3.46, +16.128, +411.83769, +1150.000, +103.000, +364.000
1697638380, +3.46, +16.145, +330.32221, +1139.000, +96.000, +364.000
1697638680, +3.46, +16.171, +548.13630, +1128.000, +96.000, +364.000
1697638980, +3.46, +16.179, +514.13612, +1230.000, +124.000, +262.000
1697639280, +3.46, +16.196, +493.39179, +1232.000, +124.000, +256.000
1697639580, +3.46, +16.239, +500.41689, +1127.000, +96.000, +364.000
1697639880, +3.46, +16.248, +505.39818, +1136.000, +96.000, +364.000
1697640180, +3.46, +16.239, +540.85192, +1136.000, +96.000, +364.000
1697640480, +3.46, +16.290, +429.03775, +1219.000, +128.000, +284.000
1697640780, +3.46, +16.307, +566.99403, +1231.000, +120.000, +256.000
1697641080, +3.46, +16.316, +596.21151, +1129.000, +96.000, +366.000
1697641380, +3.46, +16.341, +554.74491, +1220.000, +128.000, +286.000
1697641680, +3.46, +16.350, +610.05761, +1128.000, +96.000, +364.000
1697641980, +3.45, +16.358, +602.86977, +1219.000, +124.000, +288.000
1697642280, +3.45, +16.358, +624.89942, +1224.000, +128.000, +272.000
1697642580, +3.45, +16.358, +612.22003, +1240.000, +112.000, +240.000
1697642880, +3.45, +16.350, +623.63617, +1232.000, +120.000, +252.000
1697643180, +3.45, +16.350, +654.64096, +1240.000, +112.000, +240.000
1697643480, +3.45, +16.324, +675.36598, +1243.000, +112.000, +236.000
1697643780, +3.45, +16.333, +663.58300, +1230.000, +128.000, +262.000
1697644080, +3.45, +16.324, +655.11261, +1223.000, +128.000, +280.000
1697644380, +3.45, +16.324, +659.33539, +1224.000, +128.000, +272.000
1697644680, +3.45, +16.333, +676.10517, +1235.000, +120.000, +256.000
1697644980, +3.45, +16.358, +682.70000, +1217.000, +128.000, +286.000
1697645280, +3.45, +16.375, +679.59152, +1219.000, +128.000, +284.000
1697645580, +3.45, +16.401, +653.65628, +1235.000, +120.000, +250.000
1697645880, +3.45, +16.392, +694.56572, +1219.000, +128.000, +280.000
1697646180, +3.45, +16.401, +672.63537, +1216.000, +128.000, +288.000
1697646480, +3.45, +16.401, +667.13830, +1142.000, +102.000, +361.000
1697646780, +3.45, +16.435, +680.51000, +1222.000, +128.000, +280.000
1697647080, +3.45, +16.478, +664.20359, +1136.000, +96.000, +364.000
1697647380, +3.45, +16.520, +668.02092, +1219.000, +128.000, +292.000
1697647680, +3.45, +16.537, +674.53852, +1139.000, +97.000, +364.000
1697647980, +3.45, +16.614, +670.84531, +1129.000, +96.000, +360.000
1697648280, +3.45, +16.639, +674.54956, +1128.000, +96.000, +360.000
1697648580, +3.45, +16.673, +659.25816, +1127.000, +96.000, +364.000
1697648880, +3.45, +16.716, +669.60137, +1128.000, +96.000, +364.000
1697649180, +3.45, +16.750, +651.45525, +1129.000, +96.000, +360.000
1697649480, +3.45, +16.767, +656.03936, +1127.000, +96.000, +366.000
1697649780, +3.45, +16.801, +651.18495, +1127.000, +96.000, +361.000
1697650080, +3.45, +16.852, +649.73690, +1127.000, +96.000, +364.000
1697650380, +3.45, +16.894, +652.05102, +1127.000, +96.000, +364.000
1697650680, +3.45, +16.928, +633.13812, +1128.000, +96.000, +364.000
1697650980, +3.45, +16.945, +643.30756, +1126.000, +96.000, +364.000
1697651280, +3.45, +16.971, +643.92264, +1127.000, +96.000, +364.000
1697651580, +3.45, +17.030, +634.22485, +1127.000, +96.000, +364.000
1697651880, +3.45, +17.064, +619.33064, +1127.000, +96.000, +364.000
1697652180, +3.45, +17.115, +620.55803, +1127.000, +92.000, +364.000
1697652480, +3.45, +17.158, +618.64109, +1127.000, +96.000, +364.000
1697652780, +3.45, +17.217, +607.56697, +1127.000, +92.000, +360.000
1697653080, +3.45, +17.276, +597.81953, +1240.000, +121.000, +231.000
1697653380, +3.45, +17.336, +575.78437, +1127.000, +96.000, +361.000
1697653680, +3.45, +17.378, +578.06539, +1246.000, +121.000, +231.000
1697653980, +3.45, +17.429, +571.00167, +1244.000, +120.000, +235.000
1697654280, +3.45, +17.471, +562.46508, +1244.000, +121.000, +231.000
1697654580, +3.45, +17.497, +544.68856, +1243.000, +120.000, +231.000
1697654880, +3.45, +17.531, +553.41271, +1240.000, +126.000, +235.000
1697655180, +3.45, +17.564, +343.43740, +1240.000, +119.000, +231.000
1697655480, +3.45, +17.581, +338.61333, +1243.000, +120.000, +235.000
1697655780, +3.45, +17.607, +227.12738, +1240.000, +119.000, +239.000
1697656080, +3.45, +17.607, +247.57107, +1240.000, +120.000, +239.000
1697656380, +3.45, +17.590, +70.91190, -240.000, -996.000, -569.000
1697656680, +3.45, +17.624, +58.92758, -31.000, -945.000, -769.000
1697656980, +3.45, +17.624, +91.25905, -28.000, -961.000, -769.000
1697657280, +3.44, +17.649, +183.06257, -24.000, -945.000, -753.000
1697657580, +3.45, +17.691, +174.03778, -24.000, -956.000, -769.000
1697657880, +3.45, +17.683, +175.46377, -20.000, -960.000, -769.000
1697658180, +3.44, +17.683, +175.28173, -24.000, -959.000, -769.000
1697658480, +3.44, +17.700, +154.12643, -24.000, -960.000, -775.000
1697658780, +3.45, +17.691, +74.05899, -20.000, -956.000, -769.000
1697659080, +3.44, +17.649, +46.60399, -31.000, -937.000, -769.000
1697659380, +3.45, +17.615, +34.54244, -68.000, -936.000, -576.000
1697659680, +3.44, +17.573, +37.05791, -24.000, -933.000, -769.000
1697659980, +3.44, +17.522, +33.14955, -22.000, -937.000, -769.000
1697660280, +3.44, +17.471, +23.99789, -66.000, -928.000, -576.000
1697660580, +3.44, +17.463, +21.98441, -25.000, -941.000, -769.000
1697660880, +3.44, +17.437, +20.32398, -66.000, -928.000, -576.000
1697661180, +3.44, +17.429, +23.19801, -68.000, -928.000, -576.000
1697661480, +3.44, +17.420, +20.74047, -16.000, -933.000, -753.000
1697661780, +3.44, +17.412, +16.23635, -24.000, -937.000, -769.000
1697662080, +3.44, +17.395, +18.98902, -64.000, -932.000, -576.000
1697662380, +3.44, +17.403, +15.02550, -64.000, -928.000, -573.000
1697662680, +3.45, +17.403, +18.55323, -64.000, -928.000, -576.000
1697662980, +3.44, +17.420, +13.75122, -24.000, -937.000, -769.000
1697663280, +3.44, +17.463, +15.17996, -64.000, -928.000, -574.000
1697663580, +3.44, +17.471, +17.92160, -24.000, -933.000, -769.000
1697663880, +3.44, +17.471, +18.01538, -20.000, -937.000, -769.000
1697664180, +3.44, +17.454, +15.06688, -64.000, -928.000, -576.000
1697664480, +3.44, +17.285, +42.10815, +1124.000, -173.000, +67.000
1697664780, +3.44, +16.818, +33.87220, +1129.000, -160.000, +120.000
1697665080, +3.44, +16.384, +30.92921, +1201.000, -148.000, +68.000
1697665380, +3.44, +16.051, +25.59212, +1231.000, -128.000, +12.000
1697665680, +3.44, +15.787, +22.54432, +1123.000, -122.000, +56.000
1697665980, +3.44, +15.598,  +1.41109, -356.000, -1264.000, +704.000
1697666280, +3.44, +15.521,  +1.01667, -348.000, -1342.000, +713.000
1697666580, +3.44, +15.444,  +0.79877, -480.000, -1040.000, +824.000
1697666880, +3.44, +15.384,  +0.51192, -404.000, -1312.000, +783.000
1697667180, +3.44, +15.359,  +0.46779, -416.000, -1280.000, +604.000
1697667480, +3.44, +15.324,  +0.23334, -400.000, -1242.000, +624.000
1697667780, +3.44, +15.273,  +0.14232, -436.000, -1240.000, +691.000
